id,name,region,primary_type,secondary_type
115,kangaskhan,Kanto,normal,
116,horsea,Kanto,water,
117,seadra,Kanto,water,
118,goldeen,Kanto,water,
119,seaking,Kanto,water,
120,staryu,Kanto,water,
121,starmie,Kanto,water,psychic
122,mr-mime,Kanto,psychic,fairy
123,scyther,Kanto,bug,flying
124,jynx,Kanto,ice,psychic
125,electabuzz,Kanto,electric,
126,magmar,Kanto,fire,
127,pinsir,Kanto,bug,
128,tauros,Kanto,normal,
129,magikarp,Kanto,water,
130,gyarados,Kanto,water,flying
131,lapras,Kanto,water,ice
132,ditto,Kanto,normal,
133,eevee,Kanto,normal,
134,vaporeon,Kanto,water,
135,jolteon,Kanto,electric,
136,flareon,Kanto,fire,
137,porygon,Kanto,normal,
138,omanyte,Kanto,rock,water
139,omastar,Kanto,rock,water
140,kabuto,Kanto,rock,water
141,kabutops,Kanto,rock,water
142,aerodactyl,Kanto,rock,flying
143,snorlax,Kanto,normal,
144,articuno,Kanto,ice,flying
145,zapdos,Kanto,electric,flying
146,moltres,Kanto,fire,flying
147,dratini,Kanto,dragon,
148,dragonair,Kanto,dragon,
149,dragonite,Kanto,dragon,flying
150,mewtwo,Kanto,psychic,
151,mew,Kanto,psychic,
152,chikorita,Johto,grass,
153,bayleef,Johto,grass,
154,meganium,Johto,grass,
155,cyndaquil,Johto,fire,
156,quilava,Johto,fire,
157,typhlosion,Johto,fire,
158,totodile,Johto,water,
159,croconaw,Johto,water,
160,feraligatr,Johto,water,
161,sentret,Johto,normal,
162,furret,Johto,normal,
163,hoothoot,Johto,normal,flying
164,noctowl,Johto,normal,flying
165,ledyba,Johto,bug,flying
166,ledian,Johto,bug,flying
167,spinarak,Johto,bug,poison
168,ariados,Johto,bug,poison
169,crobat,Johto,poison,flying
170,chinchou,Johto,water,electric
171,lanturn,Johto,water,electric
172,pichu,Johto,electric,
173,cleffa,Johto,fairy,
174,igglybuff,Johto,normal,fairy
175,togepi,Johto,fairy,
176,togetic,Johto,fairy,flying
177,natu,Johto,psychic,flying
178,xatu,Johto,psychic,flying
179,mareep,Johto,electric,
180,flaaffy,Johto,electric,
181,ampharos,Johto,electric,
182,bellossom,Johto,grass,
183,marill,Johto,water,fairy
184,azumarill,Johto,water,fairy
185,sudowoodo,Johto,rock,
186,politoed,Johto,water,
187,hoppip,Johto,grass,flying
188,skiploom,Johto,grass,flying
189,jumpluff,Johto,grass,flying
190,aipom,Johto,normal,
191,sunkern,Johto,grass,
192,sunflora,Johto,grass,
193,yanma,Johto,bug,flying
194,wooper,Johto,water,ground
195,quagsire,Johto,water,ground
196,espeon,Johto,psychic,
197,umbreon,Johto,dark,
198,murkrow,Johto,dark,flying
199,slowking,Johto,water,psychic
200,misdreavus,Johto,ghost,
201,unown,Johto,psychic,
202,wobbuffet,Johto,psychic,
203,girafarig,Johto,normal,psychic
204,pineco,Johto,bug,
205,forretress,Johto,bug,steel
206,dunsparce,Johto,normal,
207,gligar,Johto,ground,flying
208,steelix,Johto,steel,ground
209,snubbull,Johto,fairy,
210,granbull,Johto,fairy,
211,qwilfish,Johto,water,poison
212,scizor,Johto,bug,steel
213,shuckle,Johto,bug,rock
214,heracross,Johto,bug,fighting
215,sneasel,Johto,dark,ice
216,teddiursa,Johto,normal,
217,ursaring,Johto,normal,
218,slugma,Johto,fire,
219,magcargo,Johto,fire,rock
220,swinub,Johto,ice,ground
221,piloswine,Johto,ice,ground
222,corsola,Johto,water,rock
223,remoraid,Johto,water,
224,octillery,Johto,water,
225,delibird,Johto,ice,flying
226,mantine,Johto,water,flying
227,skarmory,Johto,steel,flying
228,houndour,Johto,dark,fire
229,houndoom,Johto,dark,fire
230,kingdra,Johto,water,dragon
231,phanpy,Johto,ground,
232,donphan,Johto,ground,
233,porygon2,Johto,normal,
234,stantler,Johto,normal,
235,smeargle,Johto,normal,
236,tyrogue,Johto,fighting,
237,hitmontop,Johto,fighting,
238,smoochum,Johto,ice,psychic
239,elekid,Johto,electric,
240,magby,Johto,fire,
241,miltank,Johto,normal,
242,blissey,Johto,normal,
243,raikou,Johto,electric,
244,entei,Johto,fire,
245,suicune,Johto,water,
246,larvitar,Johto,rock,ground
247,pupitar,Johto,rock,ground
248,tyranitar,Johto,rock,dark
249,lugia,Johto,psychic,flying
250,ho-oh,Johto,fire,flying
251,celebi,Johto,psychic,grass
252,treecko,Hoenn,grass,
253,grovyle,Hoenn,grass,
254,sceptile,Hoenn,grass,
255,torchic,Hoenn,fire,
256,combusken,Hoenn,fire,fighting
257,blaziken,Hoenn,fire,fighting
258,mudkip,Hoenn,water,
259,marshtomp,Hoenn,water,ground
260,swampert,Hoenn,water,ground
261,poochyena,Hoenn,dark,
262,mightyena,Hoenn,dark,
263,zigzagoon,Hoenn,normal,
264,linoone,Hoenn,normal,
265,wurmple,Hoenn,bug,
266,silcoon,Hoenn,bug,
267,beautifly,Hoenn,bug,flying
268,cascoon,Hoenn,bug,
269,dustox,Hoenn,bug,poison
270,lotad,Hoenn,water,grass
271,lombre,Hoenn,water,grass
272,ludicolo,Hoenn,water,grass
273,seedot,Hoenn,grass,
274,nuzleaf,Hoenn,grass,dark
275,shiftry,Hoenn,grass,dark
276,taillow,Hoenn,normal,flying
277,swellow,Hoenn,normal,flying
278,wingull,Hoenn,water,flying
279,pelipper,Hoenn,water,flying
280,ralts,Hoenn,psychic,fairy
281,kirlia,Hoenn,psychic,fairy
282,gardevoir,Hoenn,psychic,fairy
283,surskit,Hoenn,bug,water
284,masquerain,Hoenn,bug,flying
285,shroomish,Hoenn,grass,
286,breloom,Hoenn,grass,fighting
287,slakoth,Hoenn,normal,
288,vigoroth,Hoenn,normal,
289,slaking,Hoenn,normal,
290,nincada,Hoenn,bug,ground
291,ninjask,Hoenn,bug,flying
292,shedinja,Hoenn,bug,ghost
293,whismur,Hoenn,normal,
294,loudred,Hoenn,normal,
295,exploud,Hoenn,normal,
296,makuhita,Hoenn,fighting,
297,hariyama,Hoenn,fighting,
298,azurill,Hoenn,normal,fairy
299,nosepass,Hoenn,rock,
300,skitty,Hoenn,normal,
301,delcatty,Hoenn,normal,
302,sableye,Hoenn,dark,ghost
303,mawile,Hoenn,steel,fairy
304,aron,Hoenn,steel,rock
305,lairon,Hoenn,steel,rock
306,aggron,Hoenn,steel,rock
307,meditite,Hoenn,fighting,psychic
308,medicham,Hoenn,fighting,psychic
309,electrike,Hoenn,electric,
310,manectric,Hoenn,electric,
311,plusle,Hoenn,electric,
312,minun,Hoenn,electric,
313,volbeat,Hoenn,bug,
314,illumise,Hoenn,bug,
315,roselia,Hoenn,grass,poison
316,gulpin,Hoenn,poison,
317,swalot,Hoenn,poison,
318,carvanha,Hoenn,water,dark
319,sharpedo,Hoenn,water,dark
320,wailmer,Hoenn,water,
321,wailord,Hoenn,water,
322,numel,Hoenn,fire,ground
323,camerupt,Hoenn,fire,ground
324,torkoal,Hoenn,fire,
325,spoink,Hoenn,psychic,
326,grumpig,Hoenn,psychic,
327,spinda,Hoenn,normal,
328,trapinch,Hoenn,ground,
329,vibrava,Hoenn,ground,dragon
330,flygon,Hoenn,ground,dragon
331,cacnea,Hoenn,grass,
332,cacturne,Hoenn,grass,dark
333,swablu,Hoenn,normal,flying
334,altaria,Hoenn,dragon,flying
335,zangoose,Hoenn,normal,
336,seviper,Hoenn,poison,
337,lunatone,Hoenn,rock,psychic
338,solrock,Hoenn,rock,psychic
339,barboach,Hoenn,water,ground
340,whiscash,Hoenn,water,ground
341,corphish,Hoenn,water,
342,crawdaunt,Hoenn,water,dark
343,baltoy,Hoenn,ground,psychic
344,claydol,Hoenn,ground,psychic
345,lileep,Hoenn,rock,grass
346,cradily,Hoenn,rock,grass
347,anorith,Hoenn,rock,bug
348,armaldo,Hoenn,rock,bug
349,feebas,Hoenn,water,
350,milotic,Hoenn,water,
351,castform,Hoenn,normal,
352,kecleon,Hoenn,normal,
353,shuppet,Hoenn,ghost,
354,banette,Hoenn,ghost,
355,duskull,Hoenn,ghost,
356,dusclops,Hoenn,ghost,
357,tropius,Hoenn,grass,flying
358,chimecho,Hoenn,psychic,
359,absol,Hoenn,dark,
360,wynaut,Hoenn,psychic,
361,snorunt,Hoenn,ice,
362,glalie,Hoenn,ice,
363,spheal,Hoenn,ice,water
364,sealeo,Hoenn,ice,water
365,walrein,Hoenn,ice,water
366,clamperl,Hoenn,water,
367,huntail,Hoenn,water,
368,gorebyss,Hoenn,water,
369,relicanth,Hoenn,water,rock
370,luvdisc,Hoenn,water,
371,bagon,Hoenn,dragon,
372,shelgon,Hoenn,dragon,
373,salamence,Hoenn,dragon,flying
374,beldum,Hoenn,steel,psychic
375,metang,Hoenn,steel,psychic
376,metagross,Hoenn,steel,psychic
377,regirock,Hoenn,rock,
378,regice,Hoenn,ice,
379,registeel,Hoenn,steel,
380,latias,Hoenn,dragon,psychic
381,latios,Hoenn,dragon,psychic
382,kyogre,Hoenn,water,
383,groudon,Hoenn,ground,
384,rayquaza,Hoenn,dragon,flying
385,jirachi,Hoenn,steel,psychic
386,deoxys-normal,Hoenn,psychic,
387,turtwig,Sinnoh,grass,
388,grotle,Sinnoh,grass,
389,torterra,Sinnoh,grass,ground
390,chimchar,Sinnoh,fire,
391,monferno,Sinnoh,fire,fighting
392,infernape,Sinnoh,fire,fighting
393,piplup,Sinnoh,water,
394,prinplup,Sinnoh,water,
395,empoleon,Sinnoh,water,steel
396,starly,Sinnoh,normal,flying
397,staravia,Sinnoh,normal,flying
398,staraptor,Sinnoh,normal,flying
399,bidoof,Sinnoh,normal,
400,bibarel,Sinnoh,normal,water
401,kricketot,Sinnoh,bug,
402,kricketune,Sinnoh,bug,
403,shinx,Sinnoh,electric,
404,luxio,Sinnoh,electric,
405,luxray,Sinnoh,electric,
406,budew,Sinnoh,grass,poison
407,roserade,Sinnoh,grass,poison
408,cranidos,Sinnoh,rock,
409,rampardos,Sinnoh,rock,
410,shieldon,Sinnoh,rock,steel
411,bastiodon,Sinnoh,rock,steel
412,burmy,Sinnoh,bug,
413,wormadam-plant,Sinnoh,bug,grass
414,mothim,Sinnoh,bug,flying
415,combee,Sinnoh,bug,flying
416,vespiquen,Sinnoh,bug,flying
417,pachirisu,Sinnoh,electric,
418,buizel,Sinnoh,water,
419,floatzel,Sinnoh,water,
420,cherubi,Sinnoh,grass,
421,cherrim,Sinnoh,grass,
422,shellos,Sinnoh,water,
423,gastrodon,Sinnoh,water,ground
424,ambipom,Sinnoh,normal,
425,drifloon,Sinnoh,ghost,flying
426,drifblim,Sinnoh,ghost,flying
427,buneary,Sinnoh,normal,
428,lopunny,Sinnoh,normal,
429,mismagius,Sinnoh,ghost,
430,honchkrow,Sinnoh,dark,flying
431,glameow,Sinnoh,normal,
432,purugly,Sinnoh,normal,
433,chingling,Sinnoh,psychic,
434,stunky,Sinnoh,poison,dark
435,skuntank,Sinnoh,poison,dark
436,bronzor,Sinnoh,steel,psychic
437,bronzong,Sinnoh,steel,psychic
438,bonsly,Sinnoh,rock,
439,mime-jr,Sinnoh,psychic,fairy
440,happiny,Sinnoh,normal,
441,chatot,Sinnoh,normal,flying
442,spiritomb,Sinnoh,ghost,dark
443,gible,Sinnoh,dragon,ground
444,gabite,Sinnoh,dragon,ground
445,garchomp,Sinnoh,dragon,ground
446,munchlax,Sinnoh,normal,
447,riolu,Sinnoh,fighting,
448,lucario,Sinnoh,fighting,steel
449,hippopotas,Sinnoh,ground,
450,hippowdon,Sinnoh,ground,
451,skorupi,Sinnoh,poison,bug
452,drapion,Sinnoh,poison,dark
453,croagunk,Sinnoh,poison,fighting
454,toxicroak,Sinnoh,poison,fighting
455,carnivine,Sinnoh,grass,
456,finneon,Sinnoh,water,
457,lumineon,Sinnoh,water,
458,mantyke,Sinnoh,water,flying
459,snover,Sinnoh,grass,ice
460,abomasnow,Sinnoh,grass,ice
461,weavile,Sinnoh,dark,ice
462,magnezone,Sinnoh,electric,steel
463,lickilicky,Sinnoh,normal,
464,rhyperior,Sinnoh,ground,rock
465,tangrowth,Sinnoh,grass,
466,electivire,Sinnoh,electric,
467,magmortar,Sinnoh,fire,
468,togekiss,Sinnoh,fairy,flying
469,yanmega,Sinnoh,bug,flying
470,leafeon,Sinnoh,grass,
471,glaceon,Sinnoh,ice,
472,gliscor,Sinnoh,ground,flying
473,mamoswine,Sinnoh,ice,ground
474,porygon-z,Sinnoh,normal,
475,gallade,Sinnoh,psychic,fighting
476,probopass,Sinnoh,rock,steel
477,dusknoir,Sinnoh,ghost,
478,froslass,Sinnoh,ice,ghost
479,rotom,Sinnoh,electric,ghost
480,uxie,Sinnoh,psychic,
481,mesprit,Sinnoh,psychic,
482,azelf,Sinnoh,psychic,
483,dialga,Sinnoh,steel,dragon
484,palkia,Sinnoh,water,dragon
485,heatran,Sinnoh,fire,steel
486,regigigas,Sinnoh,normal,
487,giratina-altered,Sinnoh,ghost,dragon
488,cresselia,Sinnoh,psychic,
489,phione,Sinnoh,water,
490,manaphy,Sinnoh,water,
491,darkrai,Sinnoh,dark,
492,shaymin-land,Sinnoh,grass,
493,arceus,Sinnoh,normal,
494,victini,Unova,psychic,fire
495,snivy,Unova,grass,
496,servine,Unova,grass,
497,serperior,Unova,grass,
498,tepig,Unova,fire,
499,pignite,Unova,fire,fighting
500,emboar,Unova,fire,fighting
501,oshawott,Unova,water,
502,dewott,Unova,water,
503,samurott,Unova,water,
504,patrat,Unova,normal,
505,watchog,Unova,normal,
506,lillipup,Unova,normal,
507,herdier,Unova,normal,
508,stoutland,Unova,normal,
509,purrloin,Unova,dark,
510,liepard,Unova,dark,
511,pansage,Unova,grass,
512,simisage,Unova,grass,
513,pansear,Unova,fire,
514,simisear,Unova,fire,
515,panpour,Unova,water,
516,simipour,Unova,water,
517,munna,Unova,psychic,
518,musharna,Unova,psychic,
519,pidove,Unova,normal,flying
520,tranquill,Unova,normal,flying
521,unfezant,Unova,normal,flying
522,blitzle,Unova,electric,
523,zebstrika,Unova,electric,
524,roggenrola,Unova,rock,
525,boldore,Unova,rock,
526,gigalith,Unova,rock,
527,woobat,Unova,psychic,flying
528,swoobat,Unova,psychic,flying
529,drilbur,Unova,ground,
530,excadrill,Unova,ground,steel
531,audino,Unova,normal,
532,timburr,Unova,fighting,
533,gurdurr,Unova,fighting,
534,conkeldurr,Unova,fighting,
535,tympole,Unova,water,
536,palpitoad,Unova,water,ground
537,seismitoad,Unova,water,ground
538,throh,Unova,fighting,
539,sawk,Unova,fighting,
540,sewaddle,Unova,bug,grass
541,swadloon,Unova,bug,grass
542,leavanny,Unova,bug,grass
543,venipede,Unova,bug,poison
544,whirlipede,Unova,bug,poison
545,scolipede,Unova,bug,poison
546,cottonee,Unova,grass,fairy
547,whimsicott,Unova,grass,fairy
548,petilil,Unova,grass,
549,lilligant,Unova,grass,
550,basculin-red-striped,Unova,water,
551,sandile,Unova,ground,dark
552,krokorok,Unova,ground,dark
553,krookodile,Unova,ground,dark
554,darumaka,Unova,fire,
555,darmanitan-standard,Unova,fire,
556,maractus,Unova,grass,
557,dwebble,Unova,bug,rock
558,crustle,Unova,bug,rock
559,scraggy,Unova,dark,fighting
560,scrafty,Unova,dark,fighting
561,sigilyph,Unova,psychic,flying
562,yamask,Unova,ghost,
563,cofagrigus,Unova,ghost,
564,tirtouga,Unova,water,rock
565,carracosta,Unova,water,rock
566,archen,Unova,rock,flying
567,archeops,Unova,rock,flying
568,trubbish,Unova,poison,
569,garbodor,Unova,poison,
570,zorua,Unova,dark,
571,zoroark,Unova,dark,
572,minccino,Unova,normal,
573,cinccino,Unova,normal,
574,gothita,Unova,psychic,
575,gothorita,Unova,psychic,
576,gothitelle,Unova,psychic,
577,solosis,Unova,psychic,
578,duosion,Unova,psychic,
579,reuniclus,Unova,psychic,
580,ducklett,Unova,water,flying
581,swanna,Unova,water,flying
582,vanillite,Unova,ice,
583,vanillish,Unova,ice,
584,vanilluxe,Unova,ice,
585,deerling,Unova,normal,grass
586,sawsbuck,Unova,normal,grass
587,emolga,Unova,electric,flying
588,karrablast,Unova,bug,
589,escavalier,Unova,bug,steel
590,foongus,Unova,grass,poison
591,amoonguss,Unova,grass,poison
592,frillish,Unova,water,ghost
593,jellicent,Unova,water,ghost
594,alomomola,Unova,water,
595,joltik,Unova,bug,electric
596,galvantula,Unova,bug,electric
597,ferroseed,Unova,grass,steel
598,ferrothorn,Unova,grass,steel
599,klink,Unova,steel,
600,klang,Unova,steel,
601,klinklang,Unova,steel,
602,tynamo,Unova,electric,
603,eelektrik,Unova,electric,
604,eelektross,Unova,electric,
605,elgyem,Unova,psychic,
606,beheeyem,Unova,psychic,
607,litwick,Unova,ghost,fire
608,lampent,Unova,ghost,fire
609,chandelure,Unova,ghost,fire
610,axew,Unova,dragon,
611,fraxure,Unova,dragon,
612,haxorus,Unova,dragon,
613,cubchoo,Unova,ice,
614,beartic,Unova,ice,
615,cryogonal,Unova,ice,
616,shelmet,Unova,bug,
617,accelgor,Unova,bug,
618,stunfisk,Unova,ground,electric
619,mienfoo,Unova,fighting,
620,mienshao,Unova,fighting,
621,druddigon,Unova,dragon,
622,golett,Unova,ground,ghost
623,golurk,Unova,ground,ghost
624,pawniard,Unova,dark,steel
625,bisharp,Unova,dark,steel
626,bouffalant,Unova,normal,
627,rufflet,Unova,normal,flying
628,braviary,Unova,normal,flying
629,vullaby,Unova,dark,flying
630,mandibuzz,Unova,dark,flying
631,heatmor,Unova,fire,
632,durant,Unova,bug,steel
633,deino,Unova,dark,dragon
634,zweilous,Unova,dark,dragon
635,hydreigon,Unova,dark,dragon
636,larvesta,Unova,bug,fire
637,volcarona,Unova,bug,fire
638,cobalion,Unova,steel,fighting
639,terrakion,Unova,rock,fighting
640,virizion,Unova,grass,fighting
641,tornadus-incarnate,Unova,flying,
642,thundurus-incarnate,Unova,electric,flying
643,reshiram,Unova,dragon,fire
644,zekrom,Unova,dragon,electric
645,landorus-incarnate,Unova,ground,flying
646,kyurem,Unova,dragon,ice
647,keldeo-ordinary,Unova,water,fighting
648,meloetta-aria,Unova,normal,psychic
649,genesect,Unova,bug,steel
